Date,Name of Vendors,Expense Description,Amount,Transaction Type,Expense Category,Account Name,Labels,Notes
7/29/2018,Transfer from EVERYDAY CHECKING,ONLINE PYMT-THANK YOU ATLANTA GA,25,credit,Credit Card Payment,XXXXXXXXXX4742,,
7/29/2018,Transfer from EVERYDAY CHECKING,PAYMENT - THANK YOU,27,credit,Credit Card Payment,XXXX-XXXX-XXXX-2118,,
7/28/2018,Alaska Air,ALASKA A 0272179873012 8006545669 WA,25,debit,Air Travel,XXXXXXXXXX1112,,
7/28/2018,Exxon,EXXONMOBIL 99508665 LOS GATOS CA,31.61,debit,Gas & Fuel,XXXXXXXXXX1112,,
7/28/2018,Skype,SKYPE.COM/BILL SKYPE.COM NV,10,debit,Home Phone,Bank of America Cash Rewards Visa Platinum Plus,,
7/28/2018,Anwar Bazaar & Bakery,ANWAR BAZAAR & BAKERY SAN JOSE CA,52.65,debit,Restaurants,Bank of America Cash Rewards Visa Platinum Plus,,
7/28/2018,Amazon,AMAZON MARKETPLACE SEATTLE WA<br/>Samsung USB-C Data Charging Ca,5.3,debit,Shopping,XXXXXXXXXX4742,,
7/27/2018,Speed Oil Change,SPEED OIL CHANGE CENTE SANTA CLARA CA,72.3,debit,Service & Parts,XXXXXXXXXX1112,,
7/27/2018,7-Eleven,7-ELEVEN 14333 MOUNTAIN VIEWCA,14.86,debit,Fast Food,XXXXXXXXXX1112,,
7/27/2018,Aegeemessin Ca,PAYPAL *AEGEEMESSIN 4029357733 CA,279.32,debit,Electronics & Software,XXXXXXXXXX1112,,
7/27/2018,Check,CHECK C_FEES,82.5,debit,Check,Bank of America Cash Rewards Visa Platinum Plus,,
7/27/2018,Check 1033,ACCESS CHECK CHECK CHECK 01033 C_ACCESSCHECKS,2750,debit,Mortgage & Rent,Bank of America Cash Rewards Visa Platinum Plus,,
7/27/2018,Anwar Bazaar & Bakery,ANWAR BAZAAR & BAKERY SAN JOSE CA,17,debit,Restaurants,Bank of America Cash Rewards Visa Platinum Plus,,
7/27/2018,Lucky,LUCKY #773 SANTA CL SANTA CLARA CA,22.36,debit,Groceries,Bank of America Cash Rewards Visa Platinum Plus,,
7/27/2018,Intl Gourmet Foodjiose,INTL GOURMET FOODS SAN JIOSE CA,18.16,debit,Groceries,Bank of America Cash Rewards Visa Platinum Plus,,
7/26/2018,Valero,VALERO #7230 MOUNTAIN VIEWCA,14.22,debit,Gas & Fuel,XXXXXXXXXX1112,,
7/26/2018,Foreign Transaction Fee,FOREIGN TRANSACTION FEE,0.87,debit,Service Fee,XXXXXXXXXX1112,,
7/26/2018,Roma It Br,05515005 0551500513179 ROMA IT<br/>EURO CURRNCY<br/>25.00 X 1.1660000,29.15,debit,Vacation,XXXXXXXXXX1112,,
7/26/2018,Ba Electronic,BA ELECTRONIC PAYMENT,50,credit,Credit Card Payment,Bank of America Cash Rewards Visa Platinum Plus,,
7/26/2018,Ba Electronic,BA ELECTRONIC PAYMENT,80,credit,Credit Card Payment,CORP Account - Business Advantage Cash Rewards,,
7/26/2018,Anwar Bazaar & Bakery,ANWAR BAZAAR & BAKERY SAN JOSE CA,35.83,debit,Restaurants,Bank of America Cash Rewards Visa Platinum Plus,,
7/26/2018,Gotogate Ukh Www,GOTOGATE 00000000UKH535 WWW.GOTOGATE SE<br/>GB POUND STERLNG<br/>235.93 X 1.3211121,311.69,debit,Air Travel,XXXXXXXXXX1112,,
7/26/2018,Foreign Transaction Fee,FOREIGN TRANSACTION FEE,9.35,debit,Service Fee,XXXXXXXXXX1112,,
7/26/2018,Www Baltour It,WWW.BALTOUR.IT TERAMO IT<br/>EURO CURRNCY<br/>34.00 X 1.1741176,39.92,debit,Vacation,XXXXXXXXXX1112,,
7/26/2018,Foreign Transaction Fee,FOREIGN TRANSACTION FEE,1.19,debit,Service Fee,XXXXXXXXXX1112,,
7/26/2018,ATM N De,ATM 0726 0039 527691 10991 N DE ANZA BLVD    CUPERTINO    CA,20,debit,Cash & ATM,Checking Account,,
7/26/2018,Loan Transfer,LOAN PAYMENT TRANSFER TO 70/142-,263.8,debit,Financial,Checking Account,,
7/26/2018,ATM N De,ATM 0726 0037 527672 10991 N DE ANZA BLVD    CUPERTINO    CA,280,credit,Income,Checking Account,,
7/25/2018,Haircuts Only,SQ *HAIRCUTS ONLY SAN JOSE CA,47,debit,Hair,Bank of America Cash Rewards Visa Platinum Plus,,
7/25/2018,Chevron,CHEVRON 0097870 CAMPBELL CA,57.15,debit,Gas & Fuel,Costco Anywhere Visa® Card by Citi,,
7/24/2018,Whole Foods,Whole Foods Market,49.57,debit,Groceries,Platinum Mastercard,,
7/24/2018,Online Thank You,"ONLINE PAYMENT, THANK YOU",70,credit,Credit Card Payment,Costco Anywhere Visa® Card by Citi,,
7/23/2018,Atomic,Atomic,5.31,debit,Alcohol & Bars,Platinum Mastercard,,
7/23/2018,Exxon,ExxonMobil,32.02,debit,Gas & Fuel,Platinum Mastercard,,
7/23/2018,International Male,International Market & Grill,32.72,debit,Clothing,Platinum Mastercard,,
7/23/2018,Exxon,EXXONMOBIL 99493553 SANTA CLARA CA,32.75,debit,Gas & Fuel,Costco Anywhere Visa® Card by Citi,,
7/23/2018,Intl Gourmet Foodjiose,INTL GOURMET FOODS SAN JIOSE CA,76.25,debit,Groceries,Bank of America Cash Rewards Visa Platinum Plus,,
7/23/2018,Geico,GEICO *AUTO MACON DC,51.06,credit,Auto Insurance,Bank of America Cash Rewards Visa Platinum Plus,,
7/23/2018,Lucky,LUCKY #773 SANTA CL SANTA CLARA CA,48.49,debit,Groceries,Bank of America Cash Rewards Visa Platinum Plus,,
7/22/2018,Sadaf,SADAF SAN DIEGO CA,9,debit,Restaurants,Costco Anywhere Visa® Card by Citi,,
7/22/2018,Sadaf,SADAF SAN DIEGO CA,7,debit,Restaurants,Costco Anywhere Visa® Card by Citi,,
7/21/2018,Cafe Istanbul,CAFE ISTANBUL SAN DIEGO CA,46.14,debit,Restaurants,Costco Anywhere Visa® Card by Citi,,
7/21/2018,Trenitalia Lefrecce Roma,TRENITALIA - LEFRECCE ROMA IT,52.71,debit,Travel,Costco Anywhere Visa® Card by Citi,,
7/21/2018,Flyhacks C Http,FLYHACKS.CO C31308215322 http://flyhacPL,237.99,debit,Restaurants,Costco Anywhere Visa® Card by Citi,,
7/21/2018,Doner Grill,DONER GRILL SAN DIEGO CA,16.15,debit,Restaurants,Costco Anywhere Visa® Card by Citi,,
7/21/2018,Tommy Hilfiger,TOMMY HILFIGER #112 MILPITAS CA,92.32,debit,Clothing,Costco Anywhere Visa® Card by Citi,,
7/21/2018,Casablanca Lounge,CASABLANCA LOUNGE SAN DIEGO CA,60.35,debit,Food & Dining,Costco Anywhere Visa® Card by Citi,,
7/21/2018,Verizon Wireless,VZWRLSS*APOCC VISW 800-922-0204 FL,128.45,debit,Mobile Phone,Bank of America Cash Rewards Visa Platinum Plus,,
7/21/2018,Uber.com,UBER TRIP 4J326 HELP.UBER.COMCA,6.25,debit,Rental Car & Taxi,XXXX-XXXX-XXXX-7998,,
7/21/2018,Uber.com,UBER TRIP 4J326 HELP.UBER.COMCA,2,debit,Rental Car & Taxi,XXXX-XXXX-XXXX-7998,,
7/21/2018,Best Buy,"BESTBUY.COM, 888-BESTBUY",16.38,debit,Electronics & Software,XXXX-XXXX-XXXX-7998,,
7/20/2018,Mercury,MERCURY*INSURANCE 888-637-2176 CA,216.52,debit,Auto Payment,Costco Anywhere Visa® Card by Citi,,
7/20/2018,Walgreens,WALGREENS #2740 SANTA CLARA CA,13.06,debit,Pharmacy,Costco Anywhere Visa® Card by Citi,,
7/20/2018,Rewards Special Offer,REWARDS/SPECIAL OFFER CREDIT,1.84,credit,Income,XXXXXXXXXX1112,,
7/20/2018,Interest Charge Purchases,INTEREST CHARGE ON PURCHASES,42.25,debit,Finance Charge,XXXXXXXXXX1112,,
7/20/2018,Loan,To Loan 99301,439.73,debit,Auto Payment,FREE CHECKING,,
7/19/2018,Amazon,"AMAZON MARKETPLACE SEATTLE WA<br/>iPhone 6s Plus Case, iPhone 6",11.23,debit,Shopping,XXXXXXXXXX4742,,
7/19/2018,Amazon,AMAZON MARKETPLACE SEATTLE WA<br/>Caseology Legion Series Case f<br/>SHIPPING AND TAX,10.86,debit,Shopping,XXXXXXXXXX4742,,
7/19/2018,Exxon,EXXONMOBIL 97614382 HOLLYWOOD CA,10.01,debit,Gas & Fuel,Bank of America Cash Rewards Visa Platinum Plus,,
7/19/2018,Foreign Transaction Fee,FOREIGN TRANSACTION FEE C_FEES,1.41,debit,Service Fee,Bank of America Cash Rewards Visa Platinum Plus,,
7/19/2018,Travel Eagle Inn,TRAVEL EAGLE INN LONG BEACH CA,77.62,debit,Travel,Bank of America Cash Rewards Visa Platinum Plus,,
7/19/2018,Sw Travel Az,SW TRAVEL.AZ BAKU,47.08,debit,Travel,Bank of America Cash Rewards Visa Platinum Plus,,
7/19/2018,Sunnyvale Car Spa Inc.,SUNNYVALE CAR SPA SUNNYVALE CA,34.97,debit,Gas & Fuel,Bank of America Cash Rewards Visa Platinum Plus,,
7/19/2018,Smart & Final,SMARTNFINAL93210809325 SAN DIEGO CA,48.22,debit,Groceries,Costco Anywhere Visa® Card by Citi,,
7/19/2018,Deerfield Il,ONLINE PAYMENT DEERFIELD IL,50,credit,Credit Card Payment,XXXX-XXXX-XXXX-7998,,
7/19/2018,Patelco El Camino,PATELCO CREDIT 2654 EL CAMINO REPATELCO CREDIT 2654 EL CAMINO REAL SANTA CLARA CAUS,440,credit,Auto Payment,FREE CHECKING,,
7/18/2018,Target,TARGET 00028308 SANTA CLARA CA,75.17,debit,Shopping,Bank of America Cash Rewards Visa Platinum Plus,,
7/18/2018,Costco,COSTCO WHSE #0423 SUNNYVALE CA,40.28,debit,Shopping,Costco Anywhere Visa® Card by Citi,,
7/18/2018,7-Eleven,7-Eleven,16.24,debit,Fast Food,Platinum Mastercard,,
7/17/2018,Valley Fair Ca,VALLEY FAIR (CA) Santa Clara CA,40.15,debit,Restaurants,XXXX-XXXX-XXXX-2118,,
7/17/2018,Costco,COSTCO WHSE #0423 SUNNYVALE CA,154.63,debit,Shopping,Costco Anywhere Visa® Card by Citi,,
7/17/2018,Whole Foods,WHOLEFDS SCA #10633 SANTA CLARA CA,58.89,debit,Groceries,Costco Anywhere Visa® Card by Citi,,
7/17/2018,Forever 21,0766 FOREVER 21 SANTA CLARA CA,30.48,credit,Clothing,XXXX-XXXX-XXXX-7998,,
7/17/2018,Whole Foods,WHOLEFDS SCA #10633 SANTA CLARA CA,29.84,debit,Groceries,Bank of America Cash Rewards Visa Platinum Plus,,
7/17/2018,Lucky,LUCKY #773 SANTA CL SANTA CLARA CA,19.56,debit,Groceries,Bank of America Cash Rewards Visa Platinum Plus,,
7/17/2018,Lucky,LUCKY #773 SANTA CL SANTA CLARA CA,4.46,debit,Groceries,Bank of America Cash Rewards Visa Platinum Plus,,
7/17/2018,Uber.com,UBER   KCNJE C_PURCHASE,4.52,debit,Rental Car & Taxi,SAHILA IBRAHIMIL,,
7/17/2018,Uber.com,UBER   TRIP X77Q2 C_PURCHASE,4.99,debit,Rental Car & Taxi,SAHILA IBRAHIMIL,,
7/17/2018,Uber.com,UBER   TRIP UB7IL C_PURCHASE,6.02,debit,Rental Car & Taxi,SAHILA IBRAHIMIL,,
7/17/2018,Exxon,EXXONMOBIL 99493553 SANTA CLARA CA,50.08,debit,Gas & Fuel,Bank of America Cash Rewards Visa Platinum Plus,,
7/17/2018,Uber.com,UBER   TRIP X77Q2 C_PURCHASE,4.99,debit,Rental Car & Taxi,Business Advantage Cash Rewards,,
7/17/2018,Uber.com,UBER   KCNJE C_PURCHASE,4.52,debit,Rental Car & Taxi,Business Advantage Cash Rewards,,
7/17/2018,Uber.com,UBER   TRIP UB7IL C_PURCHASE,6.02,debit,Rental Car & Taxi,Business Advantage Cash Rewards,,
7/17/2018,Interest Charged,INTEREST CHARGED TO STANDARD PURCH,26.46,debit,Finance Charge,Costco Anywhere Visa® Card by Citi,,
7/16/2018,Lucky,LUCKY #773 SANTA CL SANTA CLARA CA,1.79,debit,Groceries,XXXX-XXXX-XXXX-7998,,
7/16/2018,Sfmta Cit Pymnt,SFMTA CIT PYMNT WEB 415-7013000 CA,73,debit,Parking,Bank of America Cash Rewards Visa Platinum Plus,,
7/16/2018,Shell,SHELL OIL 57444216006 SAN FRANCISCOCA,21.21,debit,Gas & Fuel,Bank of America Cash Rewards Visa Platinum Plus,,
7/16/2018,Rewards Special Offer,REWARDS/SPECIAL OFFER CREDIT,0.93,credit,Income,XXXXXXXXXX1993,,
7/16/2018,Comcast,COMCAST CALIFORNIA 800-COMCAST CA,49.81,debit,Television,Bank of America Cash Rewards Visa Platinum Plus,,
7/16/2018,Chevron,CHEVRON 0093591 REDWOOD CITY CA,28.61,debit,Gas & Fuel,Bank of America Cash Rewards Visa Platinum Plus,,
7/16/2018,Cash Rewards Statement,CASH REWARDS STATEMENT CREDIT C_BANKTRANSACTION,64.36,credit,Credit Card Payment,Bank of America Cash Rewards Visa Platinum Plus,,
7/16/2018,Anwar Bazaar & Bakery,ANWAR BAZAAR & BAKERY SAN JOSE CA,34.61,debit,Restaurants,Bank of America Cash Rewards Visa Platinum Plus,,
7/16/2018,Statement,STATEMENT CREDIT C_FEE,26.03,credit,Credit Card Payment,CORP Account - Business Advantage Cash Rewards,,
7/16/2018,Fhda De Anza,FHDA DE ANZA REGISTRAT C_PURCHASE,98.84,debit,Parking,Business Advantage Cash Rewards,,
7/16/2018,Jack in the Box,JACK IN THE BOX 0469 C_PURCHASE,8.57,debit,Fast Food,Business Advantage Cash Rewards,,
7/14/2018,Amazon,"AMAZON RETAIL SEATTLE WA<br/>Barbie Made To Move Doll, Blon<br/>SHIPPING AND TAX",52.29,debit,Shopping,XXXXXXXXXX4742,,
7/14/2018,Online Thank You,"ONLINE PAYMENT, THANK YOU",41.33,credit,Credit Card Payment,Costco Anywhere Visa® Card by Citi,,
7/14/2018,Exxon,EXXONMOBIL 99493553 SANTA CLARA CA,50,debit,Gas & Fuel,Bank of America Cash Rewards Visa Platinum Plus,,
7/14/2018,Whole Foods,WHOLEFDS SCA #10633 SANTA CLARA CA,120.64,debit,Groceries,Bank of America Cash Rewards Visa Platinum Plus,,
7/13/2018,Chevron,CHEVRON 0090030 SAN FRANCISCOCA,1.79,debit,Gas & Fuel,Bank of America Cash Rewards Visa Platinum Plus,,
7/13/2018,Exxon,EXXONMOBIL 99493553 SANTA CLARA CA,6,debit,Gas & Fuel,Bank of America Cash Rewards Visa Platinum Plus,,
7/13/2018,AT&T,VESTA *AT&T 866-608-3007 OR,21.13,debit,Mobile Phone,Bank of America Cash Rewards Visa Platinum Plus,,
7/13/2018,Fresco Pizza & Grill,FRESCO PIZZA & GRILL SAN FRANCISCOCA,10.84,debit,Food & Dining,Bank of America Cash Rewards Visa Platinum Plus,,
7/13/2018,Chevron,CHEVRON 0090030 SAN FRANCISCOCA,30.55,debit,Gas & Fuel,Bank of America Cash Rewards Visa Platinum Plus,,
7/13/2018,Netflix,NETFLIX.COM C_PURCHASE,10.99,debit,Movies & DVDs,Business Advantage Cash Rewards,,
7/12/2018,Walgreens,WALGREENS #2740 SANTA CLARA CA,54.13,debit,Pharmacy,Bank of America Cash Rewards Visa Platinum Plus,,
7/12/2018,Walgreens,WALGREENS #2740 SANTA CLARA CA,3.26,debit,Pharmacy,Bank of America Cash Rewards Visa Platinum Plus,,
7/12/2018,7-Eleven,7-ELEVEN 14281 SAN JOSE CA,8.36,debit,Fast Food,Bank of America Cash Rewards Visa Platinum Plus,,
7/11/2018,Paid,Paid,19,debit,Auto & Transport,CFNA Credit First Card,,
7/11/2018,Adidas,ADIDAS 6203 LIVERMORE CA,16.39,credit,Clothing,Bank of America Cash Rewards Visa Platinum Plus,,
7/11/2018,Ephesus Restaurant Mountain,EPHESUS RESTAURANT MOUNTAIN VIEWCA,48.66,debit,Restaurants,Bank of America Cash Rewards Visa Platinum Plus,,
7/11/2018,Whole Foods,WHOLEFDS SCA #10633 SANTA CLARA CA,48.41,debit,Groceries,Bank of America Cash Rewards Visa Platinum Plus,,
7/11/2018,Geico,GEICO *AUTO 800-841-3000 DC,169.58,debit,Auto Insurance,Bank of America Cash Rewards Visa Platinum Plus,,
7/11/2018,Costco,COSTCO WHSE #0423 SUNNYVALE CA,119.57,debit,Shopping,Bank of America Cash Rewards Visa Platinum Plus,,
7/11/2018,Online Payment,ONLINE PAYMENT THANK YOU ALPHARETTA GA,60,credit,Credit Card Payment,XXXXXXXXXX1112,,
7/11/2018,Interest Charge Purchases,INTEREST CHARGE ON PURCHASES,8.71,debit,Finance Charge,XXXXXXXXXX4742,,
7/10/2018,Br Factory Us,BR FACTORY US 1049 LIVERMORE CA,57.45,debit,Clothing,Bank of America Cash Rewards Visa Platinum Plus,,
7/10/2018,Clarks,CLARKS STORE #132 LIVERMORE CA,103.82,debit,Clothing,Bank of America Cash Rewards Visa Platinum Plus,,
7/10/2018,Amazon,AMAZON MARKETPLACE SEATTLE WA<br/>CanaKit Raspberry Pi 3 Complet<br/>SHIPPING AND TAX,75.06,debit,Shopping,XXXXXXXXXX4742,,
7/10/2018,Old Navy,Old Navy,5.67,credit,Clothing,Platinum Mastercard,,
7/9/2018,Polo Ralph Lauren,US POLO ASSN OUTLET18 GILROY CA,21.79,debit,Clothing,Bank of America Cash Rewards Visa Platinum Plus,,
7/9/2018,Boardwalk Kiosk,BOARDWALK KIOSK SANTA CRUZ CA,50,debit,Amusement,Bank of America Cash Rewards Visa Platinum Plus,,
7/9/2018,Tommy Hilfiger,TOMMY HILFIGER #113 GILROY CA,128.49,debit,Clothing,Bank of America Cash Rewards Visa Platinum Plus,,
7/9/2018,Tst Pieology,TST* PIEOLOGY,28.29,debit,Restaurants,Bank of America Cash Rewards Visa Platinum Plus,,
7/9/2018,Justice,JUSTICE #1207 GILROY CA,42.18,debit,Clothing,Bank of America Cash Rewards Visa Platinum Plus,,
7/9/2018,Chevron,CHEVRON 0092679 SANTA CLARA CA,52.28,debit,Gas & Fuel,Bank of America Cash Rewards Visa Platinum Plus,,
7/9/2018,Boardwalk Parking,BOARDWALK PARKING SANTA CRUZ CA,20,debit,Parking,Bank of America Cash Rewards Visa Platinum Plus,,
7/8/2018,Anwar Bazaar & Bakery,ANWAR BAZAAR & BAKERY SAN JOSE CA,28.88,debit,Restaurants,XXXX-XXXX-XXXX-7998,,
7/7/2018,Lucky,LUCKY #773 SANTA CL SANTA CLARA CA,47.69,debit,Groceries,XXXX-XXXX-XXXX-7998,,
7/7/2018,Ing,COLLEGE PARKING,15.65,debit,Parking,Platinum Mastercard,,
7/7/2018,Whole Foods,WHOLEFDS SCA #10633 SANTA CLARA CA,69.34,debit,Groceries,Bank of America Cash Rewards Visa Platinum Plus,,
7/7/2018,Interest Charged Purchases,INTEREST CHARGED ON PURCHASES C_BANKCHARGES,42.8,debit,Finance Charge,Bank of America Cash Rewards Visa Platinum Plus,,
7/7/2018,Skype,SKYPE.COM/BILL SKYPE.COM NV,10,debit,Home Phone,Bank of America Cash Rewards Visa Platinum Plus,,
7/6/2018,Old Navy,Old Navy,92.37,debit,Clothing,Platinum Mastercard,,
7/6/2018,Fresh Co,Fresco Pizza & Shawarma,22.55,debit,Food & Dining,Platinum Mastercard,,
7/6/2018,Interest Charged Purchases,INTEREST CHARGED ON PURCHASES C_BANKCHARGES,78.04,debit,Finance Charge,Bank of America Cash Rewards Visa Platinum Plus,,
7/6/2018,Check,CHECK C_FEES,89.85,debit,Check,Bank of America Cash Rewards Visa Platinum Plus,,
7/6/2018,Check 1031,ACCESS CHECK CHECK CHECK 01031 C_ACCESSCHECKS,2995.16,debit,Mortgage & Rent,Bank of America Cash Rewards Visa Platinum Plus,,
7/6/2018,Interest Charged Dir,INTEREST CHARGED ON DIR DEP&CHK CASHADV C_BANKCHARGES,0.11,debit,Finance Charge,Bank of America Cash Rewards Visa Platinum Plus,,
7/6/2018,Whole Foods,WHOLEFDS STC 10267 CUPERTINO CA,20.49,debit,Groceries,Bank of America Cash Rewards Visa Platinum Plus,,
7/6/2018,Purchase Finance Charge,PURCHASE *FINANCE CHARGE* C_FEE,51.76,debit,Finance Charge,CORP Account - Business Advantage Cash Rewards,,
7/6/2018,Old Navy,OLD NAVY US 6509 SANTA CLARA CA,32.57,debit,Clothing,XXXX-XXXX-XXXX-7998,,
7/6/2018,Zara,ZARA USA 6419 SANTA CLARA CA,59.95,debit,Clothing,XXXX-XXXX-XXXX-7998,,
7/5/2018,Exxon,EXXONMOBIL 99493553 SANTA CLARA CA,21.12,debit,Gas & Fuel,XXXX-XXXX-XXXX-7998,,
7/5/2018,Chevron,CHEVRON 0090562 SUNNYVALE CA,48.09,debit,Gas & Fuel,XXXX-XXXX-XXXX-7998,,
7/5/2018,Chevron,CHEVRON 0090562 SUNNYVALE CA,15,debit,Gas & Fuel,XXXX-XXXX-XXXX-7998,,
7/4/2018,Adidas,ADIDAS 6203 LIVERMORE CA,278.63,debit,Clothing,XXXX-XXXX-XXXX-7998,,
7/4/2018,Forever 21,0613 FOREVER 21 LIVERMORE CA,137.26,debit,Clothing,XXXX-XXXX-XXXX-7998,,
7/4/2018,ATM Santa Clara,ATM PAYMENT SANTA CLARA CA,600,credit,Income,Bank of America Cash Rewards Visa Platinum Plus,,
7/4/2018,ATM Santa Clara,ATM PAYMENT SANTA CLARA CA,1460,credit,Income,Bank of America Cash Rewards Visa Platinum Plus,,
7/4/2018,Transfer from EVERYDAY CHECKING,ONLINE PYMT-THANK YOU ATLANTA GA,25,credit,Credit Card Payment,XXXXXXXXXX4742,,
7/3/2018,Subway,Subway,6.07,debit,Fast Food,Platinum Mastercard,,
7/3/2018,Chocolate Chair,CHOCOLATE CHAIR,5,debit,Restaurants,Bank of America Cash Rewards Visa Platinum Plus,,
7/3/2018,Late Payment Fee,LATE FEE,25,debit,Late Fee,XXXXXXXXXX4742,,
7/2/2018,Exxon,ExxonMobil,20.52,debit,Gas & Fuel,Platinum Mastercard,,
7/2/2018,Chevron,Chevron,30.11,debit,Gas & Fuel,Platinum Mastercard,,
7/2/2018,Lucky,Lucky supermarket,4.87,debit,Groceries,Platinum Mastercard,,
7/2/2018,Ca Banking Center,CA Banking Center payment,1700,credit,Credit Card Payment,Bank of America Cash Rewards Visa Platinum Plus,,
7/2/2018,Skype,SKYPE.COM 035-2000000 WA,10,debit,Home Phone,Bank of America Cash Rewards Visa Platinum Plus,,
7/2/2018,Uber.com,UBER   TRIP 43QHJ C_PURCHASE,5.97,debit,Rental Car & Taxi,SAHILA IBRAHIMIL,,
7/2/2018,Uber.com,UBER   TRIP 43QHJ C_PURCHASE,5.97,debit,Rental Car & Taxi,Business Advantage Cash Rewards,,
7/2/2018,Whole Foods,WHOLEFDS STC 10267 CUPERTINO CA,10,debit,Groceries,XXXX-XXXX-XXXX-7998,,
7/1/2018,Valley Fair Ca,VALLEY FAIR (CA) Santa Clara CA,128.18,debit,Restaurants,XXXX-XXXX-XXXX-2118,,
7/1/2018,Lucky,LUCKY #773 SANTA CL SANTA CLARA CA,1.99,debit,Groceries,XXXX-XXXX-XXXX-7998,,
7/1/2018,Lucky,LUCKY #773 SANTA CL SANTA CLARA CA,27.77,debit,Groceries,XXXX-XXXX-XXXX-7998,,
7/1/2018,Auntie Anne's,AUNTIE ANNE'S SANTA CLARA CA,4.19,debit,Restaurants,XXXX-XXXX-XXXX-7998,,
7/1/2018,Costco,COSTCO WHSE #0423 SUNNYVALE CA,65.81,debit,Shopping,XXXX-XXXX-XXXX-7998,,
7/1/2018,Delta,DELTA AIR Baggage Fee NEW YORK-JFK NY,25,debit,Air Travel,XXXX-XXXX-XXXX-7998,,
7/1/2018,Delta,DELTA AIR Baggage Fee NEW YORK-JFK NY,25,debit,Air Travel,XXXX-XXXX-XXXX-7998,,
7/1/2018,Taj Mahal,TAJ MAHAL SANTA CLARA CA,24.66,debit,Groceries,XXXX-XXXX-XXXX-7998,,
6/30/2018,Wal-Mart,WALMART 005884 SAN JOSE CA<br/>WALMART PURCHASE(S),200.64,debit,Shopping,XXXXXXXXXX1112,,
6/30/2018,Lucky,LUCKY #773 SANTA CL SANTA CLARA CA,11.57,debit,Groceries,XXXX-XXXX-XXXX-7998,,
6/30/2018,Nordstrom,NORDSTROM #0425 SANTA CLARA CA,37.15,debit,Clothing,XXXX-XXXX-XXXX-7998,,
6/30/2018,Russian Cafe & Deli,RUSSIAN CAFE & DELI CAMPBELL CA,19.69,debit,Fast Food,XXXX-XXXX-XXXX-7998,,
6/30/2018,Whole Foods,WHOLEFDS SCA #10633 SANTA CLARA CA,80.58,debit,Groceries,XXXX-XXXX-XXXX-7998,,
6/30/2018,Dividend,DIVIDEND,0.06,credit,Investments,POD Savings Account,,
6/30/2018,Exxon,ExxonMobil,31.37,debit,Gas & Fuel,Platinum Mastercard,,
6/29/2018,Nobhill Pizza,SQ *NOBHILL PIZZA SAN FRANCISCOCA,10.73,debit,Restaurants,Checking Account,,
6/28/2018,Whole Foods,WHOLEFDS STC 10267 CUPERTINO CA,5,debit,Groceries,XXXX-XXXX-XXXX-7998,,
6/28/2018,Ba Electronic,BA ELECTRONIC PAYMENT,100,credit,Credit Card Payment,Bank of America Cash Rewards Visa Platinum Plus,,
6/28/2018,Ba Electronic,BA ELECTRONIC PAYMENT,100,credit,Credit Card Payment,Bank of America Cash Rewards Visa Platinum Plus,,
6/28/2018,Online Payment,PAYMENT - THANK YOU,10,credit,Credit Card Payment,XXXX-XXXX-XXXX-2118,,
6/28/2018,Lucky,Lucky supermarket,8.3,debit,Groceries,Platinum Mastercard,,
6/28/2018,Ba Electronic,BA ELECTRONIC PAYMENT,100,credit,Credit Card Payment,CORP Account - Business Advantage Cash Rewards,,
6/27/2018,Taj Mahal,TAJ MAHAL SANTA CLARA CA,15.97,debit,Groceries,XXXX-XXXX-XXXX-7998,,
6/27/2018,99 Ranch Market,99 RANCH #1768 CUPERTINO CA,20.25,debit,Groceries,XXXX-XXXX-XXXX-7998,,
6/27/2018,Lucky,LUCKY #773 SANTA CL SANTA CLARA CA,33.55,debit,Groceries,XXXX-XXXX-XXXX-7998,,
6/27/2018,Felipe's Market,FELIPE'S MARKET SUNNYVALE CA,14.88,debit,Groceries,XXXX-XXXX-XXXX-7998,,
6/27/2018,99 Ranch Market,99 RANCH #1768 CUPERTINO CA,6.99,debit,Groceries,XXXX-XXXX-XXXX-7998,,
6/26/2018,Exxon,EXXONMOBIL 99493553 SANTA CLARA CA,27.7,debit,Gas & Fuel,XXXX-XXXX-XXXX-7998,,
6/26/2018,Whole Foods,WHOLEFDS SCA #10633 SANTA CLARA CA,62.26,debit,Groceries,XXXXXXXXXX1112,,
6/26/2018,Costco,COSTCO WHSE #0423 SUNNYVALE CA,139.81,debit,Shopping,Costco Anywhere Visa® Card by Citi,,
6/26/2018,Jack in the Box,Jack in the Box,11.72,debit,Fast Food,Platinum Mastercard,,
6/26/2018,Lucky,Lucky supermarket,47.74,debit,Groceries,Platinum Mastercard,,
6/25/2018,International Transport,INTERNATIONAL TRANSACTION C_FEE,3.96,debit,Business Services,Business Advantage Cash Rewards,,
6/25/2018,Azal E,AZAL ECOMMERCE C_PURCHASE,131.76,debit,Home Services,Business Advantage Cash Rewards,,
6/25/2018,Lucky,LUCKY #773 SANTA CL SANTA CLARA CA,12.93,debit,Groceries,Costco Anywhere Visa® Card by Citi,,
6/25/2018,Valley Fair Ca,VALLEY FAIR (CA) Santa Clara CA,38.14,credit,Credit Card Payment,XXXX-XXXX-XXXX-2118,,
6/24/2018,Amidron Palo Alto,AMIDRON PALO ALTO PALO ALTO CA,34.02,debit,Gas & Fuel,XXXXXXXXXX1112,,
